num_docs,P=1,P=2,P=4,P=8,P=16,P=32,P=64
100,1.0000,1.5192,2.0266,1.6371,1.2111,1.2939,1.1901
500,1.0000,1.8536,2.8995,2.3367,1.8475,1.7972,1.6894
1000,1.0000,1.8830,3.2529,2.6799,2.4086,2.2759,1.9498
5000,1.0000,2.0451,3.9194,3.2843,4.4824,5.4727,4.3900
